StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,AgreeToParticipate,AttentionCheck_exp,AttentionCheck_ctrl,RateOverallQuality,ExplainQuality,Likert_1,Likert_2,Likert_3,Likert_4,Likert_5,Likert_6,Likert_7,Likert_8,Likert_9,Likert_10,ExplainIssues,Resources,Courses,AI_Likert_1,AI_Likert_2,AI_Likert_3,AI_Likert_4,AI_Likert_5,AI_Likert_6,CreditHours,Age,Gender,Gender_4_TEXT,RaceEthnicity,RaceEthnicity_6_TEXT,FirstGen,condition,Q_DONT_SAVE
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"By clicking “I agree” below, I agree to take part in this research. I am 18 years of age or older; I am a Purdue student majoring in computer science; and I have passed CS 240. I understand the information above about my participation.","You must answer this question correctly in order to proceed in the survey.
Which statement below is true?","You must answer this question correctly in order to proceed in the survey.

Which statement below is true?",How would you rate the overall quality of this code?,Please explain your answer.,Indicate to what degree you agree or disagree with the following statements about the above code snippet. - The code is readable.,Indicate to what degree you agree or disagree with the following statements about the above code snippet. - The code is well-structured.,Indicate to what degree you agree or disagree with the following statements about the above code snippet. - The code is testable.,Indicate to what degree you agree or disagree with the following statements about the above code snippet. - The code is robust.,Indicate to what degree you agree or disagree with the following statements about the above code snippet. - The code is secure.,Indicate to what degree you agree or disagree with the following statements about the above code snippet. - The code is well-documented.,Indicate to what degree you agree or disagree with the following statements about the above code snippet. - The code is easy to understand.,Indicate to what degree you agree or disagree with the following statements about the above code snippet. - The code is correct.,Indicate to what degree you agree or disagree with the following statements about the above code snippet. - The code is free of bugs.,Indicate to what degree you agree or disagree with the following statements about the above code snippet. - The code is adaptable.,Please explain any issues with the code snippet.,"If you had been allowed to consult external resources, what resources would you use to assess code security? Please explain your answer.",Which of the following classes have you taken and passed at Purdue?,"Indicate to what degree you agree or disagree with the following statements about generative AI tools such as ChatGPT, Deepseek, Copilot, etc. - I trust the systems' output.","Indicate to what degree you agree or disagree with the following statements about generative AI tools such as ChatGPT, Deepseek, Copilot, etc. - The output the system produces is as good as that which a highly competent person could produce.","Indicate to what degree you agree or disagree with the following statements about generative AI tools such as ChatGPT, Deepseek, Copilot, etc. - I know what will happen the next time I use the system because I understand how it behaves.","Indicate to what degree you agree or disagree with the following statements about generative AI tools such as ChatGPT, Deepseek, Copilot, etc. - I believe the output of the system even when I don't know for certain that it is correct.","Indicate to what degree you agree or disagree with the following statements about generative AI tools such as ChatGPT, Deepseek, Copilot, etc. - I have a personal preference for using such AI systems for my tasks.","Indicate to what degree you agree or disagree with the following statements about generative AI tools such as ChatGPT, Deepseek, Copilot, etc. - Overall, I trust the AI system I use.",How many credit hours have you completed?,What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe: - Text,Which categories below best describe you? - Selected Choice,Which categories below best describe you? - Prefer to self-describe: - Text,Are you a first-generation student?,condition,Q_DONT_SAVE
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID12_7""}","{""ImportId"":""QID12_8""}","{""ImportId"":""QID12_9""}","{""ImportId"":""QID12_10""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID23_5""}","{""ImportId"":""QID23_6""}","{""ImportId"":""QID21""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_4_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_6_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""condition""}","{""ImportId"":""Q_DONT_SAVE""}"
2025-04-21 11:28:08,2025-04-21 11:28:18,Survey Preview,100,9,True,2025-04-21 11:28:18,R_6CHMITQIIRWxlMm,preview,EN,,I agree,,This code snippet is written in C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control,
2025-04-28 11:29:52,2025-04-28 11:29:56,Survey Preview,100,4,True,2025-04-28 11:29:57,R_6jiVZ5GIy82VSuL,preview,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-28 11:29:59,2025-04-28 11:32:23,Survey Preview,100,144,True,2025-04-28 11:32:24,R_62R4AFsNwIm92Fd,preview,EN,0.8999999761581421,I agree,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,18,-99,-99,-99,-99,-99,,
2025-04-28 11:41:55,2025-04-28 11:42:12,Survey Preview,100,16,True,2025-04-28 11:42:12,R_6P1lJnz5RUTGDaX,preview,EN,0.8999999761581421,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-28 11:42:18,2025-04-28 11:42:22,Survey Preview,100,4,True,2025-04-28 11:42:23,R_6ojzvwaTv4g0CuA,preview,EN,1,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-28 11:42:29,2025-04-28 11:42:34,Survey Preview,100,5,True,2025-04-28 11:42:34,R_6C7rWBOnXf8VtOE,preview,EN,0.8999999761581421,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-28 11:49:00,2025-04-28 11:49:12,Survey Preview,100,12,True,2025-04-28 11:49:12,R_6XEHuAvlfvChKrn,preview,EN,0.6000000238418579,I agree,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control,
2025-04-28 11:49:17,2025-04-28 11:49:23,Survey Preview,100,6,True,2025-04-28 11:49:24,R_6jHvgLLx49Gq5Bz,preview,EN,0.699999988079071,I agree,,This code snippet is written in Python.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control,
